id,name,explanation,code
26,toggleBoolean,Toggles a boolean value.,func ToggleBoolean(value bool) bool { return !value }
27,generateRandomNumber,Generates a random number between two values.,"func GenerateRandomNumber(min int, max int) int { return rand.Intn(max-min+1) + min }"
28,randomChoice,Picks a random element from an array.,func RandomChoice(array []interface{}) interface{} { return array[rand.Intn(len(array))] }
29,filterTruthy,Filters out falsy values from an array.,"func FilterTruthy(array []interface{}) []interface{} { var result []interface{} for _, value := range array { if value != nil && value != false && value != 0 && value != """" { result = append(result, value) } } return result }"
30,toBoolean,Converts a value to a boolean.,"func ToBoolean(value interface{}) bool { return value != nil && value != false && value != 0 && value != """" }"
31,roundNumber,Rounds a number to the nearest integer.,func RoundNumber(num float64) int { return int(math.Round(num)) }
32,truncateString,Truncates a string to a specified length.,"func TruncateString(str string, length int) string { if length >= len(str) { return str } return str[:length] }"
33,sumByProperty,Sums the values of a specific property in an array of objects.,"func SumByProperty(array []map[string]int, prop string) int { sum := 0 for _, item := range array { sum += item[prop] } return sum }"
34,getRandomInt,Generates a random integer between two values (inclusive).,"func GetRandomInt(min int, max int) int { return rand.Intn(max-min+1) + min }"
35,flattenArray,Flattens a multi-dimensional array into a single-dimensional array.,"func FlattenArray(array [][]interface{}) []interface{} { var result []interface{} for _, subarray := range array { result = append(result, subarray...) } return result }"
36,countOccurrences,Counts the occurrences of a specific value in an array.,"func CountOccurrences(array []interface{}, value interface{}) int { count := 0 for _, item := range array { if item == value { count++ } } return count }"
37,distanceBetweenPoints,Calculates the distance between two points in 2D space.,"func DistanceBetweenPoints(x1, y1, x2, y2 float64) float64 { return math.Sqrt(math.Pow(x2-x1, 2) + math.Pow(y2-y1, 2)) }"
38,shuffleArray,Shuffles the elements of an array randomly.,"func ShuffleArray(array []interface{}) []interface{} { rand.Shuffle(len(array), func(i, j int) { array[i], array[j] = array[j], array[i] }) return array }"
39,isPrime,Checks if a number is a prime number.,func IsPrime(num int) bool { if num <= 1 { return false } for i := 2; i*i <= num; i++ { if num%i == 0 { return false } } return true }
40,deepClone,Creates a deep clone of an object.,// DeepClone is not straightforward in GO without reflection or serialization/deserialization. Use with caution.
41,getRandomElement,Gets a random element from an array.,func GetRandomElement(array []interface{}) interface{} { return array[rand.Intn(len(array))] }
42,toTitleCase,Converts a string to title case (each word capitalized).,func ToTitleCase(str string) string { return strings.Title(str) }
43,isInteger,Checks if the value is an integer.,"func IsInteger(value interface{}) bool { switch value.(type) { case int, int8, int16, int32, int64: return true default: return false } }"
44,chunkArray,Splits an array into chunks of a specified size.,"func ChunkArray(array []interface{}, size int) [][]interface{} { var chunks [][]interface{} for size < len(array) { array, chunks = array[size:], append(chunks, array[0:size:size]) } chunks = append(chunks, array) return chunks }"
45,uniqueElements,Returns a new array with unique elements from the given array.,"func UniqueElements(array []interface{}) []interface{} { keys := make(map[interface{}]bool) list := []interface{}{} for _, entry := range array { if _, value := keys[entry]; !value { keys[entry] = true list = append(list, entry) } } return list }"
46,isObject,Checks if the value is an object.,// Go doesn't have a direct equivalent of isObject like in JavaScript; structs are commonly used for structured data.
47,digitSum,Calculates the sum of digits of a number.,func DigitSum(num int) int { sum := 0 for num != 0 { sum += num % 10 num /= 10 } return sum }
48,capitalizeWords,Capitalizes the first letter of each word in a string.,"func CapitalizeWords(str string) string { words := strings.Fields(str) for index, word := range words { words[index] = strings.ToUpper(word[:1]) + word[1:] } return strings.Join(words, "" "") }"
49,padString,Pads a string with another string until it reaches the desired length.,"func PadString(str string, length int, padWith string) string { for len(str) < length { str = padWith + str } return str }"
50,isValidEmail,Validates an email address format.,func IsValidEmail(email string) bool { re := regexp.MustCompile(^[^\\s@]+@[^\\s@]+\\.[^\\s@]+$) return re.MatchString(email) }
